election_year,election_type,office,district,candidate_name,first_name,middle_name,last_name,prefix,suffix,nickname,full_name_display,party,phone,email,address,website,state,original_name,original_state,original_election_year,original_office,original_filing_date,id,stable_id,county,city,zip_code,filing_date,election_date,facebook,twitter
2024,General,US Representative,District 1,Diana DeGette,Diana,,DeGette,,,,Diana DeGette,Democratic,,,,,Colorado,Diana DeGette,Colorado,2024,Representative to the 119th United States Congress - District 1,,1,ad3e78471429f7b8,,,,,,,
2024,General,US Representative,District 1,Valdamar Archuleta,Valdamar,,Archuleta,,,,Valdamar Archuleta,Republican,,,,,Colorado,Valdamar Archuleta,Colorado,2024,Representative to the 119th United States Congress - District 1,,2,5f4ea12544a7b59e,,,,,,,
2024,General,US Representative,District 2,Joe Neguse,Joe,,Neguse,,,,Joe Neguse,Democratic,,,,,Colorado,Joe Neguse,Colorado,2024,Representative to the 119th United States Congress - District 2,,3,23fb96032a0299ca,,,,,,,
2024,General,US Representative,District 2,Marshall Dawson,Marshall,,Dawson,,,,Marshall Dawson,Republican,,,,,Colorado,Marshall Dawson,Colorado,2024,Representative to the 119th United States Congress - District 2,,4,e4b53f629e278548,,,,,,,
2024,General,US Representative,District 3,Adam Frisch,Adam,,Frisch,,,,Adam Frisch,Democratic,,,,,Colorado,Adam Frisch,Colorado,2024,Representative to the 119th United States Congress - District 3,,5,4588c5c053b53c58,,,,,,,
2024,General,US Representative,District 3,Stephen A. Varela,Stephen,A.,Varela,,,,Stephen A. Varela,Republican,,,,,Colorado,Stephen A. Varela,Colorado,2024,Representative to the 119th United States Congress - District 3,,6,a913bfed09b5a50c,,,,,,,
2024,General,US Representative,District 3,Ron Hanks,Ron,,Hanks,,,,Ron Hanks,Republican,,,,,Colorado,Ron Hanks,Colorado,2024,Representative to the 119th United States Congress - District 3,,7,1ed055e4f6357754,,,,,,,
2024,General,US Representative,District 3,Lew Webb,Lew,,Webb,,,,Lew Webb,Republican,,,,,Colorado,Lew Webb,Colorado,2024,Representative to the 119th United States Congress - District 3,,8,3868d0f137a552ba,,,,,,,
2024,General,US Representative,District 3,Russ Andrews,Russ,,Andrews,,,,Russ Andrews,Republican,,,,,Colorado,Russ Andrews,Colorado,2024,Representative to the 119th United States Congress - District 3,,9,128446d1fce6954a,,,,,,,
2024,General,US Representative,District 3,Curtis M. McCrackin,Curtis,M.,McCrackin,,,,Curtis M. McCrackin,Republican,,,,,Colorado,Curtis M. McCrackin,Colorado,2024,Representative to the 119th United States Congress - District 3,,10,f7d0454747ac15fc,,,,,,,
2024,General,US Representative,District 3,Jeff Hurd,Jeff,,Hurd,,,,Jeff Hurd,Republican,,,,,Colorado,Jeff Hurd,Colorado,2024,Representative to the 119th United States Congress - District 3,,11,f2119c498a9073d0,,,,,,,
2024,General,US Representative,District 4,Trisha Calvarese,Trisha,,Calvarese,,,,Trisha Calvarese,Democratic,,,,,Colorado,Trisha Calvarese,Colorado,2024,Representative to the 119th United States Congress - District 4,,12,24fa4629da9ece0a,,,,,,,
2024,General,US Representative,District 4,John Padora Jr.,John,Padora,.,,Jr,,John Padora .,Democratic,,,,,Colorado,John Padora Jr.,Colorado,2024,Representative to the 119th United States Congress - District 4,,13,079861fa6334cd04,,,,,,,
2024,General,US Representative,District 4,Ike McCorkle,Ike,,McCorkle,,,,Ike McCorkle,Democratic,,,,,Colorado,Ike McCorkle,Colorado,2024,Representative to the 119th United States Congress - District 4,,14,42a0dbfb161111d7,,,,,,,
2024,General,US Representative,District 4,Lauren Boebert,Lauren,,Boebert,,,,Lauren Boebert,Republican,,,,,Colorado,Lauren Boebert,Colorado,2024,Representative to the 119th United States Congress - District 4,,15,2d585582a961091a,,,,,,,
2024,General,US Representative,District 4,Richard Holtorf,Richard,,Holtorf,,,,Richard Holtorf,Republican,,,,,Colorado,Richard Holtorf,Colorado,2024,Representative to the 119th United States Congress - District 4,,16,67315707fca6dd3f,,,,,,,
2024,General,US Representative,District 4,Mike Lynch,Mike,,Lynch,,,,Mike Lynch,Republican,,,,,Colorado,Mike Lynch,Colorado,2024,Representative to the 119th United States Congress - District 4,,17,a76bc7a236f4a6d6,,,,,,,
2024,General,US Representative,District 4,Deborah Flora,Deborah,,Flora,,,,Deborah Flora,Republican,,,,,Colorado,Deborah Flora,Colorado,2024,Representative to the 119th United States Congress - District 4,,18,253b97f08be2c324,,,,,,,
2024,General,US Representative,District 4,Jerry Sonnenberg,Jerry,,Sonnenberg,,,,Jerry Sonnenberg,Republican,,,,,Colorado,Jerry Sonnenberg,Colorado,2024,Representative to the 119th United States Congress - District 4,,19,57b4d5aa80495d11,,,,,,,
