election_year,election_type,office,district,candidate_name,first_name,middle_name,last_name,prefix,suffix,nickname,full_name_display,party,phone,email,address,website,state,original_name,original_state,original_election_year,original_office,original_filing_date,id,stable_id,county,city,zip_code,filing_date,election_date,facebook,twitter
2024,General,US Representative,1.0,Diana DeGette,Diana,,DeGette,,,,Diana DeGette,Democratic,,,,,Colorado,Diana DeGette,Colorado,2024,Representative to the 119th United States Congress - District 1,,1,0bc494a0263632d2,,,,,,,
2024,General,US Representative,1.0,Valdamar Archuleta,Valdamar,,Archuleta,,,,Valdamar Archuleta,Republican,,,,,Colorado,Valdamar Archuleta,Colorado,2024,Representative to the 119th United States Congress - District 1,,2,e7a8f1b474a071c7,,,,,,,
2024,General,US Representative,2.0,Joe Neguse,Joe,,Neguse,,,,Joe Neguse,Democratic,,,,,Colorado,Joe Neguse,Colorado,2024,Representative to the 119th United States Congress - District 2,,3,0d08024922378b73,,,,,,,
2024,General,US Representative,2.0,Marshall Dawson,Marshall,,Dawson,,,,Marshall Dawson,Republican,,,,,Colorado,Marshall Dawson,Colorado,2024,Representative to the 119th United States Congress - District 2,,4,f73db1364db13c35,,,,,,,
2024,General,US Representative,3.0,Adam Frisch,Adam,,Frisch,,,,Adam Frisch,Democratic,,,,,Colorado,Adam Frisch,Colorado,2024,Representative to the 119th United States Congress - District 3,,5,5a6b900de1a3ccb2,,,,,,,
2024,General,US Representative,3.0,Stephen A. Varela,Stephen,A.,Varela,,,,Stephen A. Varela,Republican,,,,,Colorado,Stephen A. Varela,Colorado,2024,Representative to the 119th United States Congress - District 3,,6,1224a3360631b0e5,,,,,,,
2024,General,US Representative,3.0,Ron Hanks,Ron,,Hanks,,,,Ron Hanks,Republican,,,,,Colorado,Ron Hanks,Colorado,2024,Representative to the 119th United States Congress - District 3,,7,2e124fef8a92d08c,,,,,,,
2024,General,US Representative,3.0,Lew Webb,Lew,,Webb,,,,Lew Webb,Republican,,,,,Colorado,Lew Webb,Colorado,2024,Representative to the 119th United States Congress - District 3,,8,df6759c903a25dd4,,,,,,,
2024,General,US Representative,3.0,Russ Andrews,Russ,,Andrews,,,,Russ Andrews,Republican,,,,,Colorado,Russ Andrews,Colorado,2024,Representative to the 119th United States Congress - District 3,,9,bf9b30d38ee19738,,,,,,,
2024,General,US Representative,3.0,Curtis M. McCrackin,Curtis,M.,McCrackin,,,,Curtis M. McCrackin,Republican,,,,,Colorado,Curtis M. McCrackin,Colorado,2024,Representative to the 119th United States Congress - District 3,,10,c2f5f69befcc831a,,,,,,,
2024,General,US Representative,3.0,Jeff Hurd,Jeff,,Hurd,,,,Jeff Hurd,Republican,,,,,Colorado,Jeff Hurd,Colorado,2024,Representative to the 119th United States Congress - District 3,,11,a63f50286c5e52ce,,,,,,,
2024,General,US Representative,4.0,Trisha Calvarese,Trisha,,Calvarese,,,,Trisha Calvarese,Democratic,,,,,Colorado,Trisha Calvarese,Colorado,2024,Representative to the 119th United States Congress - District 4,,12,043ce51eefc2b9cc,,,,,,,
2024,General,US Representative,4.0,John Padora Jr.,John,Padora,.,,Jr,,John Padora .,Democratic,,,,,Colorado,John Padora Jr.,Colorado,2024,Representative to the 119th United States Congress - District 4,,13,d97d722fdfb9b080,,,,,,,
2024,General,US Representative,4.0,Ike McCorkle,Ike,,McCorkle,,,,Ike McCorkle,Democratic,,,,,Colorado,Ike McCorkle,Colorado,2024,Representative to the 119th United States Congress - District 4,,14,97e51103b6a1e447,,,,,,,
2024,General,US Representative,4.0,Lauren Boebert,Lauren,,Boebert,,,,Lauren Boebert,Republican,,,,,Colorado,Lauren Boebert,Colorado,2024,Representative to the 119th United States Congress - District 4,,15,872192bb006c0fc8,,,,,,,
2024,General,US Representative,4.0,Richard Holtorf,Richard,,Holtorf,,,,Richard Holtorf,Republican,,,,,Colorado,Richard Holtorf,Colorado,2024,Representative to the 119th United States Congress - District 4,,16,20dab274d53c2f7e,,,,,,,
2024,General,US Representative,4.0,Mike Lynch,Mike,,Lynch,,,,Mike Lynch,Republican,,,,,Colorado,Mike Lynch,Colorado,2024,Representative to the 119th United States Congress - District 4,,17,42d85f2e2c95e8eb,,,,,,,
