election_year,election_type,office,district,candidate_name,first_name,middle_name,last_name,prefix,suffix,nickname,full_name_display,party,phone,email,address,website,state,original_name,original_state,original_election_year,original_office,original_filing_date,id,stable_id,county,city,zip_code,filing_date,election_date,facebook,twitter
2024,General,US Representative,1,Diana DeGette,Diana,,DeGette,,,,Diana DeGette,Democratic,,,,,Colorado,Diana DeGette,Colorado,2024,Representative to the 119th United States Congress - District 1,,,,,,,,,,
2024,General,US Representative,1,Valdamar Archuleta,Valdamar,,Archuleta,,,,Valdamar Archuleta,Republican,,,,,Colorado,Valdamar Archuleta,Colorado,2024,Representative to the 119th United States Congress - District 1,,,,,,,,,,
2024,General,US Representative,2,Joe Neguse,Joe,,Neguse,,,,Joe Neguse,Democratic,,,,,Colorado,Joe Neguse,Colorado,2024,Representative to the 119th United States Congress - District 2,,,,,,,,,,
2024,General,US Representative,2,Marshall Dawson,Marshall,,Dawson,,,,Marshall Dawson,Republican,,,,,Colorado,Marshall Dawson,Colorado,2024,Representative to the 119th United States Congress - District 2,,,,,,,,,,
2024,General,US Representative,3,Adam Frisch,Adam,,Frisch,,,,Adam Frisch,Democratic,,,,,Colorado,Adam Frisch,Colorado,2024,Representative to the 119th United States Congress - District 3,,,,,,,,,,
2024,General,US Representative,3,Stephen A. Varela,Stephen,A.,Varela,,,,Stephen A. Varela,Republican,,,,,Colorado,Stephen A. Varela,Colorado,2024,Representative to the 119th United States Congress - District 3,,,,,,,,,,
2024,General,US Representative,3,Ron Hanks,Ron,,Hanks,,,,Ron Hanks,Republican,,,,,Colorado,Ron Hanks,Colorado,2024,Representative to the 119th United States Congress - District 3,,,,,,,,,,
2024,General,US Representative,3,Lew Webb,Lew,,Webb,,,,Lew Webb,Republican,,,,,Colorado,Lew Webb,Colorado,2024,Representative to the 119th United States Congress - District 3,,,,,,,,,,
2024,General,US Representative,3,Russ Andrews,Russ,,Andrews,,,,Russ Andrews,Republican,,,,,Colorado,Russ Andrews,Colorado,2024,Representative to the 119th United States Congress - District 3,,,,,,,,,,
2024,General,US Representative,3,Curtis M. McCrackin,Curtis,M.,McCrackin,,,,Curtis M. McCrackin,Republican,,,,,Colorado,Curtis M. McCrackin,Colorado,2024,Representative to the 119th United States Congress - District 3,,,,,,,,,,
2024,General,US Representative,3,Jeff Hurd,Jeff,,Hurd,,,,Jeff Hurd,Republican,,,,,Colorado,Jeff Hurd,Colorado,2024,Representative to the 119th United States Congress - District 3,,,,,,,,,,
2024,General,US Representative,4,Trisha Calvarese,Trisha,,Calvarese,,,,Trisha Calvarese,Democratic,,,,,Colorado,Trisha Calvarese,Colorado,2024,Representative to the 119th United States Congress - District 4,,,,,,,,,,
2024,General,US Representative,4,John Padora Jr.,John,Padora,.,,Jr,,John Padora .,Democratic,,,,,Colorado,John Padora Jr.,Colorado,2024,Representative to the 119th United States Congress - District 4,,,,,,,,,,
2024,General,US Representative,4,Ike McCorkle,Ike,,McCorkle,,,,Ike McCorkle,Democratic,,,,,Colorado,Ike McCorkle,Colorado,2024,Representative to the 119th United States Congress - District 4,,,,,,,,,,
2024,General,US Representative,4,Lauren Boebert,Lauren,,Boebert,,,,Lauren Boebert,Republican,,,,,Colorado,Lauren Boebert,Colorado,2024,Representative to the 119th United States Congress - District 4,,,,,,,,,,
2024,General,US Representative,4,Richard Holtorf,Richard,,Holtorf,,,,Richard Holtorf,Republican,,,,,Colorado,Richard Holtorf,Colorado,2024,Representative to the 119th United States Congress - District 4,,,,,,,,,,
